"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"SODUBUS","201213","59.255","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","201313","60.732","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","201413","62.479","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","201513","63.126","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","201613","63.84","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","201713","65.13","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","201813","65.522","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"SODUBUS","201913","66.226","1","Solar Energy, Direct Consumption  ","Trillion Btu"
"STT3BUS","194913","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","195013","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","195113","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","195213","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","195313","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","195413","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","195513","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","195613","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","195713","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","195813","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","195913","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","196013","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","196113","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
