"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Pennsylvania : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-PA-99.A",-615,-658,-739,-686,-711,-698,-723,-354,-731,-708,-494,-443,-539,-579,-509,-562,-605,-659,-566
"Pennsylvania : other","thousand megawatthours","ELEC.GEN.OTH-PA-99.A",803,695,712,740,731,723,744,832,817,845,893,896,841,900,899,816,884,781,873
"Pennsylvania : all solar",,"ELEC.GEN.TSN-PA-99.A",,,,,,,,,,,,,,,,,,,
"Pennsylvania : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-PA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",252,261,287,357,416,487
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-99.A","--","--","--","--","--","--","--",0,4,8,23,32,63,62,64,75,70,62,88
"East North Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Illinois",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Illinois : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-IL-99.A",179249,188054,189055,191958,194120,192427,200261,199475,193864,201352,199500,197565,203005,202144,193952,187289,183592,188003,181480
"Illinois : coal","thousand megawatthours","ELEC.GEN.COW-IL-99.A",79551,86685,87981,94402,92265,91649,95265,96644,89967,93611,90013,80827,87927,87282,73774,59338,57980,59642,48842
"Illinois : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IL-99.A",1491,223,1121,659,227,119,132,143,113,110,84,71,72,87,56,70,51,53,40
"Illinois : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IL-99.A",15,0,0,104,101,16,0,0,0,0,"--","--","--",0,0,0,0,0,0
"Illinois : natural gas","thousand megawatthours","ELEC.GEN.NG-IL-99.A",4606,9079,3902,3393,7114,5279,7542,4260,4495,5724,5956,11189,6828,5465,10864,17485,15016,17241,18916
"Illinois : other gases","thousand megawatthours","ELEC.GEN.OOG-IL-99.A",356,233,204,246,199,149,134,54,88,161,319,294,356,338,280,204,180,201,261
"Illinois : nuclear","thousand megawatthours","ELEC.GEN.NUC-IL-99.A",92358,90860,94733,92047,93263,94154,95729,95152,95474,96190,95823,96401,97131,97858,97282,98607,97191,98102,98735
"Illinois : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IL-99.A",144,129,139,154,129,173,154,139,136,119,140,111,120,132,124,133,125,147,131
"Illinois : other renewables",,"ELEC.GEN.AOR-IL-99.A",,,,,,,,,,,,,,,,,,,
"Illinois : wind","thousand megawatthours","ELEC.GEN.WND-IL-99.A","--","--",18,78,141,255,664,2337,2820,4454,6213,7727,9625,10083,10747,10663,12268,11899,13831
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-99.A","--","--","--","--","--","--","--","--",0,14,14,31,52,50,49,49,52,66,65
"Illinois : geothermal","thousand megawatthours","ELEC.GEN.GEO-IL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Illinois : biomass","thousand megawatthours","ELEC.GEN.BIO-IL-99.A",679,724,801,744,642,594,620,698,710,670,638,615,608,566,527,467,474,426,419
"Illinois : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Illinois : other","thousand megawatthours","ELEC.GEN.OTH-IL-99.A",50,122,156,132,40,38,21,49,62,300,299,299,285,282,248,274,254,227,240
"Illinois : all solar",,"ELEC.GEN.TSN-IL-99.A",,,,,,,,,,,,,,,,,,,
"Illinois : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",21,27,37,58,95,188
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-99.A","--","--","--","--","--","--","--","--",0,14,14,31,52,50,49,49,52,66,65
"Indiana",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Indiana : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-IN-99.A",122570,125608,124888,127770,130372,130490,130638,129510,116670,125181,122131,114696,110403,115395,104019,101759,98930,113460,102894
"Indiana : coal","thousand megawatthours","ELEC.GEN.COW-IN-99.A",116067,117660,117756,120671,122833,123645,122803,122036,108312,112328,104153,92461,92672,97549,78231,72533,72385,77455,60782
"Indiana : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IN-99.A",324,313,224,171,162,148,170,178,147,155,172,114,139,164,159,113,125,131,125
"Indiana : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IN-99.A",167,304,231,254,99,0,0,0,10,0,1161,831,1433,1199,1179,497,0,0,0
"Indiana : natural gas","thousand megawatthours","ELEC.GEN.NG-IN-99.A",2332,3782,3049,2438,3615,2682,4012,3636,3830,6475,10064,14471,9032,9572,16263,19996,17976,26817,32218
"Indiana : other gases","thousand megawatthours","ELEC.GEN.OOG-IN-99.A",2979,3006,2592,3136,2722,2870,2591,2356,1820,2144,2183,2491,2410,2161,2269,2272,1991,2326,2288
"Indiana : nuclear","thousand megawatthours","ELEC.GEN.NUC-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indiana : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IN-99.A",571,411,424,444,438,490,450,437,503,454,409,434,387,371,381,426,306,223,194
"Indiana : other renewables",,"ELEC.GEN.AOR-IN-99.A",,,,,,,,,,,,,,,,,,,
"Indiana : wind","thousand megawatthours","ELEC.GEN.WND-IN-99.A","--","--","--","--","--","--","--",238,1403,2934,3285,3210,3481,3496,4515,4899,5089,5437,6206
"Indiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","NM",31,102,156,226,278,291,337
"Indiana : geothermal","thousand megawatthours","ELEC.GEN.GEO-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indiana : biomass","thousand megawatthours","ELEC.GEN.BIO-IN-99.A",115,116,119,137,68,220,231,273,303,312,336,336,376,391,446,433,473,460,410
"Indiana : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indiana : other","thousand megawatthours","ELEC.GEN.OTH-IN-99.A",16,16,492,519,434,435,381,356,343,380,369,347,442,391,420,363,306,321,333
"Indiana : all solar",,"ELEC.GEN.TSN-IN-99.A",,,,,,,,,,,,,,,,,,,
"Indiana : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",9,12,17,35,98,127
"Indiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","NM",31,102,156,226,278,291,337
"Michigan",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Michigan : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MI-99.A",111846,117889,111347,118487,121620,112557,119310,114990,101203,111551,109170,108158,105418,106817,113008,112122,112314,115837,116657
"Michigan : coal","thousand megawatthours","ELEC.GEN.COW-MI-99.A",68263,66700,67777,68606,70323,67780,70811,69855,66848,65604,58948,53136,56291,52900,52884,40527,42021,42331,37363
"Michigan : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MI-99.A",749,1069,878,742,803,311,457,286,216,190,179,138,130,140,109,120,110,117,98
"Michigan : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MI-99.A",1,35,186,155,74,91,242,171,183,193,163,187,403,911,718,699,1007,1096,822
"Michigan : natural gas","thousand megawatthours","ELEC.GEN.NG-MI-99.A",13174,15853,11375,14548,13764,11410,13141,9602,8420,12249,12982,21748,12341,12523,20045,29295,26131,30987,34640
"Michigan : other gases","thousand megawatthours","ELEC.GEN.OOG-MI-99.A",6,10,2,599,372,412,282,264,203,299,269,315,957,1120,1213,1615,1652,1598,1697
"Michigan : nuclear","thousand megawatthours","ELEC.GEN.NUC-MI-99.A",26711,31087,27954,30562,32872,29066,31517,31484,21851,29625,32889,28020,28921,31246,29334,31552,32381,30479,32909
"Michigan : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MI-99.A",1562,1669,1386,1540,1462,1520,1270,1364,1372,1251,1357,1207,1419,1600,1499,1564,1679,1569,1291
"Michigan : other renewables",,"ELEC.GEN.AOR-MI-99.A",,,,,,,,,,,,,,,,,,,
"Michigan : wind","thousand megawatthours","ELEC.GEN.WND-MI-99.A",0,0,3,2,2,2,3,141,300,360,456,1132,2800,3868,4797,4696,5191,5457,5813
"Michigan : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,9,63,118,162
"Michigan : geothermal","thousand megawatthours","ELEC.GEN.GEO-MI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Michigan : biomass","thousand megawatthours","ELEC.GEN.BIO-MI-99.A",2361,2220,2495,2557,2492,2440,2414,2450,2323,2472,2506,2654,2715,2806,2485,2495,2494,2531,2369
"Michigan : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MI-99.A",-1127,-1036,-1017,-1113,-1106,-1039,-1129,-916,-857,-1023,-945,-773,-871,-701,-481,-752,-675,-698,-696
"Michigan : other","thousand megawatthours","ELEC.GEN.OTH-MI-99.A",146,281,309,291,562,563,303,286,344,332,363,395,312,404,405,302,260,252,191
"Michigan : all solar",,"ELEC.GEN.TSN-MI-99.A",,,,,,,,,,,,,,,,,,,
"Michigan : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",35,38,55,65,79,110
"Michigan : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,9,63,118,162
"Ohio",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Ohio : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-OH-99.A",142262,147069,146638,148346,156976,155434,155156,153412,136090,143598,135586,129746,137284,134476,121893,118922,119554,126185,119610
"Ohio : coal","thousand megawatthours","ELEC.GEN.COW-OH-99.A",124213,132953,134769,128157,136826,133400,133131,130694,113712,117828,105337,85589,94564,89879,71710,68775,68344,58727,46795
"Ohio : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OH-99.A",417,389,410,353,360,308,313,290,262,298,313,258,227,307,220,217,206,219,164
"Ohio : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OH-99.A","--","--","--",1035,1030,1047,835,1147,1049,1144,1075,1023,1159,939,1097,965,1035,1097,766
"Ohio : natural gas","thousand megawatthours","ELEC.GEN.NG-OH-99.A",924,1767,1794,1391,2696,2379,3975,2484,4650,7128,12338,22665,21694,23636,28034,28942,28800,44215,50999
"Ohio : other gases","thousand megawatthours","ELEC.GEN.OOG-OH-99.A",302,207,213,302,298,360,289,261,37,254,304,959,953,929,945,721,786,787,722
"Ohio : nuclear","thousand megawatthours","ELEC.GEN.NUC-OH-99.A",15464,10865,8475,15950,14803,16847,15764,17514,15206,15805,14890,17087,16121,16284,17377,16817,17688,18315,17011
"Ohio : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-OH-99.A",511,488,511,730,516,632,410,386,528,429,384,414,549,478,457,500,277,244,255
"Ohio : other renewables",,"ELEC.GEN.AOR-OH-99.A",,,,,,,,,,,,,,,,,,,
"Ohio : wind","thousand megawatthours","ELEC.GEN.WND-OH-99.A","--","--","--","--",13,14,15,15,14,13,198,985,1146,1153,1203,1245,1589,1750,2029
"Ohio : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OH-99.A","--","--","--","--","--","--","--","--","--",13,15,37,46,54,56,66,105,119,160
"Ohio : geothermal","thousand megawatthours","ELEC.GEN.GEO-OH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ohio : biomass","thousand megawatthours","ELEC.GEN.BIO-OH-99.A",431,151,441,428,432,444,420,608,619,675,722,717,817,818,799,722,727,707,697
"Ohio : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-OH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ohio : other","thousand megawatthours","ELEC.GEN.OTH-OH-99.A","--",249,26,0,2,3,3,11,11,12,10,12,8,-3,-3,-48,-2,5,12
"Ohio : all solar",,"ELEC.GEN.TSN-OH-99.A",,,,,,,,,,,,,,,,,,,
"Ohio : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-OH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",83,95,108,129,153,194
"Ohio : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OH-99.A","--","--","--","--","--","--","--","--","--",13,15,37,46,54,56,66,105,119,160
"Wisconsin",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Wisconsin : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-WI-99.A",58763,58431,60122,60445,61825,61640,63391,63480,59959,64314,63289,63751,65963,61065,66360,64967,65107,65937,62751
"Wisconsin : coal","thousand megawatthours","ELEC.GEN.COW-WI-99.A",41253,39807,41717,42148,41729,40116,40028,41706,37280,40169,39938,32758,40645,37449,37181,33363,35852,33322,26349
"Wisconsin : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WI-99.A",159,109,143,161,164,136,160,96,41,35,36,39,29,52,27,27,33,36,47
"Wisconsin : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WI-99.A",289,313,330,634,583,741,854,835,672,684,547,279,274,267,181,120,111,101,90
"Wisconsin : natural gas","thousand megawatthours","ELEC.GEN.NG-WI-99.A",2234,2076,2478,2405,6387,5358,6489,5244,5484,5497,6243,11542,8102,8054,13399,15473,13656,16799,21137
"Wisconsin : other gases","thousand megawatthours","ELEC.GEN.OOG-WI-99.A","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--"
"Wisconsin : nuclear","thousand megawatthours","ELEC.GEN.NUC-WI-99.A",11507,12449,12215,11888,9921,12234,12910,12155,12683,13281,11560,14300,11675,9447,10008,10151,9649,10129,10030
"Wisconsin : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WI-99.A",2056,2515,1843,1981,1740,1679,1516,1616,1394,2112,2147,1530,1979,2472,2341,2795,2657,2392,1993
"Wisconsin : other renewables",,"ELEC.GEN.AOR-WI-99.A",,,,,,,,,,,,,,,,,,,
"Wisconsin : wind","thousand megawatthours","ELEC.GEN.WND-WI-99.A",72,46,98,104,93,101,109,487,1052,1088,1188,1558,1558,1618,1589,1515,1641,1638,1649
"Wisconsin : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1,1,3,21,40,51
"Wisconsin : geothermal","thousand megawatthours","ELEC.GEN.GEO-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin : biomass","thousand megawatthours","ELEC.GEN.BIO-WI-99.A",1030,969,1128,1010,1089,1164,1220,1267,1288,1385,1577,1666,1634,1643,1571,1470,1460,1437,1358
"Wisconsin : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin : other","thousand megawatthours","ELEC.GEN.OTH-WI-99.A",163,146,170,114,119,110,104,74,65,63,54,80,66,62,63,50,27,43,47
"Wisconsin : all solar",,"ELEC.GEN.TSN-WI-99.A",,,,,,,,,,,,,,,,,,,
"Wisconsin : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",23,27,35,56,75,100
"Wisconsin : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1,1,3,21,40,51
"West North Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Iowa",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Iowa : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-IA-99.A",40659,42528,42116,43248,44156,45483,49789,53087,51860,57509,56372,56675,56671,56853,56659,54393,57910,63381,63268
"Iowa : coal","thousand megawatthours","ELEC.GEN.COW-IA-99.A",34665,35372,35820,35272,34252,34405,37986,40410,37351,41283,38229,35331,33302,33733,29811,25198,25358,28553,22175
"Iowa : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IA-99.A",99,58,93,75,143,107,179,80,55,80,69,89,69,59,64,239,104,67,65
"Iowa : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IA-99.A",4,6,8,33,7,102,133,81,30,75,72,18,72,85,46,39,43,44,77
"Iowa : natural gas","thousand megawatthours","ELEC.GEN.NG-IA-99.A",593,555,313,825,2481,2400,3091,2163,1184,1312,991,1941,1430,1373,2398,2961,4567,7340,8171
"Iowa : other gases","thousand megawatthours","ELEC.GEN.OOG-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Iowa : nuclear","thousand megawatthours","ELEC.GEN.NUC-IA-99.A",3853,4574,3988,4929,4538,5095,4519,5282,4679,4451,5215,4347,5321,4152,5243,4703,5214,4895,5236
"Iowa : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IA-99.A",845,946,789,946,960,909,962,819,971,948,925,766,749,879,960,917,1034,925,749
"Iowa : other renewables",,"ELEC.GEN.AOR-IA-99.A",,,,,,,,,,,,,,,,,,,
"Iowa : wind","thousand megawatthours","ELEC.GEN.WND-IA-99.A",488,919,982,1050,1647,2318,2757,4084,7421,9170,10709,14032,15568,16307,17873,20072,21373,21334,26558
"Iowa : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,5,11,16
"Iowa : geothermal","thousand megawatthours","ELEC.GEN.GEO-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Iowa : biomass","thousand megawatthours","ELEC.GEN.BIO-IA-99.A",104,98,114,106,117,137,151,167,168,190,161,151,159,266,258,252,210,211,221
"Iowa : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Iowa : other","thousand megawatthours","ELEC.GEN.OTH-IA-99.A",8,0,10,12,12,10,12,0,0,"--","--","--",0,0,5,12,2,0,0
"Iowa : all solar",,"ELEC.GEN.TSN-IA-99.A",,,,,,,,,,,,,,,,,,,
"Iowa : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",24,41,59,89,126,160
"Iowa : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,5,11,16
"Kansas",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Kansas : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-KS-99.A",44749,47188,46568,46783,45863,45524,50122,46630,46677,47924,45360,44425,48473,49728,45527,47600,50933,51710,51875
"Kansas : coal","thousand megawatthours","ELEC.GEN.COW-KS-99.A",31768,35369,35110,34593,34481,33281,36250,34003,32243,32505,31656,27983,29767,28752,24593,23096,19390,20474,17315
"Kansas : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-KS-99.A",617,509,964,854,986,51,43,43,39,45,38,35,51,45,49,28,55,52,68
"Kansas : petroleum coke","thousand megawatthours","ELEC.GEN.PC-KS-99.A","--","--","--","--","--","--",164,87,81,58,19,-0,0,0,0,"--","--","--","--"
"Kansas : natural gas","thousand megawatthours","ELEC.GEN.NG-KS-99.A",1951,1789,1226,832,1137,1839,2133,2230,2669,2287,2535,2860,1980,1453,1174,2027,2147,3006,3638
"Kansas : other gases","thousand megawatthours","ELEC.GEN.OOG-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas : nuclear","thousand megawatthours","ELEC.GEN.NUC-KS-99.A",10347,9042,8890,10133,8821,9350,10369,8497,8769,9556,7319,8285,7168,8558,8630,8246,10648,9168,9248
"Kansas : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-KS-99.A",26,13,12,13,11,10,11,11,13,13,15,10,15,16,19,31,29,26,20
"Kansas : other renewables",,"ELEC.GEN.AOR-KS-99.A",,,,,,,,,,,,,,,,,,,
"Kansas : wind","thousand megawatthours","ELEC.GEN.WND-KS-99.A",40,467,366,359,426,992,1153,1759,2863,3405,3720,5195,9433,10845,10999,14111,18598,18908,21501
"Kansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,5,8,19
"Kansas : geothermal","thousand megawatthours","ELEC.GEN.GEO-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas : biomass","thousand megawatthours","ELEC.GEN.BIO-KS-99.A","--","--","--","--","--","--","--","--",0,54,59,57,58,59,62,59,57,64,61
"Kansas : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas : other","thousand megawatthours","ELEC.GEN.OTH-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,5,5,5
"Kansas : all solar",,"ELEC.GEN.TSN-KS-99.A",,,,,,,,,,,,,,,,,,,
"Kansas : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",3,5,8,17,27,38
"Kansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,5,8,19
"Minnesota",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Minnesota : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MN-99.A",48523,52778,55051,52364,53019,53238,54478,54763,52492,53670,53120,52754,51297,56998,56980,59479,58749,61517,57875
"Minnesota : coal","thousand megawatthours","ELEC.GEN.COW-MN-99.A",31819,33920,35656,34000,32950,33070,32190,31755,29327,28083,28259,22723,23518,27957,24697,23206,22782,23455,18206
"Minnesota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MN-99.A",121,51,135,114,164,86,244,92,66,31,38,30,27,63,28,32,35,47,47
"Minnesota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MN-99.A",504,602,738,669,612,408,161,140,-1,0,0,0,0,0,"--","--","--","--","--"
"Minnesota : natural gas","thousand megawatthours","ELEC.GEN.NG-MN-99.A",1200,1592,1844,1458,2707,2561,3842,2866,2846,4341,3351,7088,6301,3870,7389,8928,6708,8555,10372
"Minnesota : other gases","thousand megawatthours","ELEC.GEN.OOG-MN-99.A","--","--","--","--","--","--",26,27,24,0,0,"--","--","--","--","--","--","--","--"
"Minnesota : nuclear","thousand megawatthours","ELEC.GEN.NUC-MN-99.A",11789,13685,13414,13296,12835,13183,13103,12997,12393,13478,11959,11944,10708,12707,12039,13861,13904,14601,14105
"Minnesota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MN-99.A",832,809,815,738,775,572,654,727,809,840,746,561,511,548,849,1209,1258,1054,887
"Minnesota : other renewables",,"ELEC.GEN.AOR-MN-99.A",,,,,,,,,,,,,,,,,,,
"Minnesota : wind","thousand megawatthours","ELEC.GEN.WND-MN-99.A",897,906,978,812,1582,2055,2639,4355,5053,4792,6726,8176,8259,9691,9779,9933,11137,10714,11040
"Minnesota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MN-99.A","--","--","--","--","--","--","--","--","--","--","--",0,3,3,3,10,596,1042,1513
"Minnesota : geothermal","thousand megawatthours","ELEC.GEN.GEO-MN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Minnesota : biomass","thousand megawatthours","ELEC.GEN.BIO-MN-99.A",1080,881,1143,985,1070,1004,1294,1496,1684,1848,1680,1838,1610,1763,1806,1892,1933,1645,1351
"Minnesota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Minnesota : other","thousand megawatthours","ELEC.GEN.OTH-MN-99.A",282,332,329,292,324,298,325,309,290,258,362,394,361,397,390,407,396,405,354
"Minnesota : all solar",,"ELEC.GEN.TSN-MN-99.A",,,,,,,,,,,,,,,,,,,
"Minnesota : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",19,26,37,59,81,100
"Minnesota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MN-99.A","--","--","--","--","--","--","--","--","--","--","--",0,3,3,3,10,596,1042,1513
"Missouri",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Missouri : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MO-99.A",79545,81162,87225,87633,90828,91686,91153,91029,88354,92313,94876,91804,91627,87834,83640,78612,84607,85095,76473
"Missouri : coal","thousand megawatthours","ELEC.GEN.COW-MO-99.A",65749,67435,74212,75024,77437,77450,75084,73532,71611,75047,78316,72775,76105,72409,65326,60322,67519,63355,55686
"Missouri : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MO-99.A",126,97,107,66,103,61,61,56,57,118,80,78,65,107,99,78,61,100,79
"Missouri : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MO-99.A",512,433,50,130,66,0,-0,1,30,8,0,0,0,0,"--","--","--","--","--"
"Missouri : natural gas","thousand megawatthours","ELEC.GEN.NG-MO-99.A",3874,3544,2624,2865,3866,3729,4979,5196,3416,4690,4548,6167,4400,4044,4596,6032,5205,7050,7332
"Missouri : other gases","thousand megawatthours","ELEC.GEN.OOG-MO-99.A","--","--",2,2,2,5,3,3,7,7,"--","--","--","--","--","--","--","--","--"
"Missouri : nuclear","thousand megawatthours","ELEC.GEN.NUC-MO-99.A",8384,8390,9700,7831,8031,10117,9372,9379,10247,8996,9371,10718,8367,9276,10440,9430,8304,10655,9190
"Missouri : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MO-99.A",1104,1357,652,1480,1159,199,1204,2047,1817,1539,1185,714,1136,697,1595,1268,1182,828,764
"Missouri : other renewables",,"ELEC.GEN.AOR-MO-99.A",,,,,,,,,,,,,,,,,,,
"Missouri : wind","thousand megawatthours","ELEC.GEN.WND-MO-99.A","--","--","--","--","--","--","--",203,499,925,1178,1245,1167,1131,1033,1122,2032,2835,2872
"Missouri : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",9,17,33,56,91,106
"Missouri : geothermal","thousand megawatthours","ELEC.GEN.GEO-MO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri : biomass","thousand megawatthours","ELEC.GEN.BIO-MO-99.A",9,9,8,10,9,24,29,43,75,62,62,54,74,116,129,139,144,133,108
