"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Massachusetts",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Massachusetts : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MA-99.A",38478,42028,48385,47500,47515,45598,47076,42505,38967,42805,38055,35578,32885,31119,32086,31955,32204,27173,22248
"Massachusetts : coal","thousand megawatthours","ELEC.GEN.COW-MA-99.A",11051,11503,10896,10526,12034,11138,12024,10629,9028,8306,4059,2137,3959,2795,2253,1875,1136,0,0
"Massachusetts : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MA-99.A",8512,6800,7459,7533,7026,2328,3052,2108,897,296,197,150,390,1005,777,422,266,461,124
"Massachusetts : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Massachusetts : natural gas","thousand megawatthours","ELEC.GEN.NG-MA-99.A",11697,15869,22424,20972,20369,23307,24925,21514,20988,25582,25940,24672,21257,18498,21007,21144,22153,18386,15931
"Massachusetts : other gases","thousand megawatthours","ELEC.GEN.OOG-MA-99.A",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Massachusetts : nuclear","thousand megawatthours","ELEC.GEN.NUC-MA-99.A",5144,5769,4978,5939,5475,5830,5120,5869,5396,5918,5085,5860,4331,5769,4995,5414,5047,4442,2177
"Massachusetts : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MA-99.A",703,875,1075,998,1042,1513,797,1156,1201,996,1149,912,992,902,827,713,1037,1134,1079
"Massachusetts : other renewables",,"ELEC.GEN.AOR-MA-99.A",,,,,,,,,,,,,,,,,,,
"Massachusetts : wind","thousand megawatthours","ELEC.GEN.WND-MA-99.A","--",0,"--","--","--","--","--",4,6,22,61,90,205,225,215,216,233,221,223
"Massachusetts : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MA-99.A","--","--","--","--","--","--","--",0,0,1,5,30,106,306,451,609,788,978,1185
"Massachusetts : geothermal","thousand megawatthours","ELEC.GEN.GEO-MA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Massachusetts : biomass","thousand megawatthours","ELEC.GEN.BIO-MA-99.A",1313,1272,1253,1230,1258,1279,1240,1252,1223,1251,1140,1158,1137,1199,1167,1204,1160,1169,1044
"Massachusetts : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MA-99.A",-711,-843,-511,-498,-462,-579,-831,-798,-534,-337,-440,-308,-368,-458,-474,-500,-443,-464,-436
"Massachusetts : other","thousand megawatthours","ELEC.GEN.OTH-MA-99.A",771,783,810,801,772,782,748,773,761,771,860,877,876,878,868,858,827,846,921
"Massachusetts : all solar",,"ELEC.GEN.TSN-MA-99.A",,,,,,,,,,,,,,,,,,,
"Massachusetts : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",625,862,1254,1516,2083,2146
"Massachusetts : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MA-99.A","--","--","--","--","--","--","--",0,0,1,5,30,106,306,451,609,788,978,1185
"New Hampshire",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"New Hampshire : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NH-99.A",15075,15953,21597,23876,24470,22064,23277,22877,20164,22196,20066,19222,19779,19538,20016,19282,17447,17087,17951
"New Hampshire : coal","thousand megawatthours","ELEC.GEN.COW-NH-99.A",3706,3722,3923,4076,4073,3885,3927,3451,2886,3083,2208,1268,1464,1311,937,422,287,660,343
"New Hampshire : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NH-99.A",482,650,2045,1960,1357,439,385,136,183,72,78,22,105,287,176,39,105,178,30
"New Hampshire : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : natural gas","thousand megawatthours","ELEC.GEN.NG-NH-99.A",119,220,4165,5400,6785,6007,5754,7073,5342,5365,6658,7050,4100,4388,6052,4744,3580,2992,3583
"New Hampshire : other gases","thousand megawatthours","ELEC.GEN.OOG-NH-99.A","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : nuclear","thousand megawatthours","ELEC.GEN.NUC-NH-99.A",8693,9295,9276,10178,9456,9398,10764,9350,8817,10910,8363,8189,10927,10168,9484,10761,9991,10062,10907
"New Hampshire : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NH-99.A",991,1141,1331,1316,1799,1529,1265,1633,1680,1478,1605,1247,1427,1381,1270,1145,1413,1355,1233
"New Hampshire : other renewables",,"ELEC.GEN.AOR-NH-99.A",,,,,,,,,,,,,,,,,,,
"New Hampshire : wind","thousand megawatthours","ELEC.GEN.WND-NH-99.A","--","--","--","--","--","--","--",10,62,76,66,209,389,412,423,432,412,407,409
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : geothermal","thousand megawatthours","ELEC.GEN.GEO-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : biomass","thousand megawatthours","ELEC.GEN.BIO-NH-99.A",1026,865,796,883,942,746,1123,1165,1135,1157,1025,1173,1306,1541,1624,1689,1610,1386,1392
"New Hampshire : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : other","thousand megawatthours","ELEC.GEN.OTH-NH-99.A",59,60,60,63,58,59,59,58,58,57,64,66,61,50,50,49,49,48,55
"New Hampshire : all solar",,"ELEC.GEN.TSN-NH-99.A",,,,,,,,,,,,,,,,,,,
"New Hampshire : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",14,24,52,87,108,130
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Rhode Island : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-RI-99.A",7502,7057,5621,4939,6053,5968,7050,7387,7697,7739,8722,8309,6247,6282,6939,6565,7615,8375,7765
"Rhode Island : coal","thousand megawatthours","ELEC.GEN.COW-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0
"Rhode Island : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-RI-99.A",70,58,58,49,57,33,34,26,17,12,14,18,51,88,114,26,58,76,18
"Rhode Island : petroleum coke","thousand megawatthours","ELEC.GEN.PC-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : natural gas","thousand megawatthours","ELEC.GEN.NG-RI-99.A",7325,6310,5455,4784,5989,5780,6857,7198,7530,7583,8571,8185,6139,5963,6586,6291,7188,7897,7237
"Rhode Island : other gases","thousand megawatthours","ELEC.GEN.OOG-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : nuclear","thousand megawatthours","ELEC.GEN.NUC-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-RI-99.A",3,4,6,5,7,6,4,5,5,4,7,4,4,4,3,2,2,4,4
"Rhode Island : other renewables",,"ELEC.GEN.AOR-RI-99.A",,,,,,,,,,,,,,,,,,,
"Rhode Island : wind","thousand megawatthours","ELEC.GEN.WND-RI-99.A","--","--","--","--","--","--","--","--","--",3,3,1,3,10,10,27,149,159,226
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--",2,10,14,15,14,29,72
"Rhode Island : geothermal","thousand megawatthours","ELEC.GEN.GEO-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : biomass","thousand megawatthours","ELEC.GEN.BIO-RI-99.A",104,98,102,102,0,149,155,158,145,137,127,101,48,207,211,205,203,211,208
"Rhode Island : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : other","thousand megawatthours","ELEC.GEN.OTH-RI-99.A","--",587,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island : all solar",,"ELEC.GEN.TSN-RI-99.A",,,,,,,,,,,,,,,,,,,
"Rhode Island : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",11,13,30,55,95,180
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--",2,10,14,15,14,29,72
"Vermont",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Vermont : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-VT-99.A",5481,5456,6028,5470,5717,7084,5824,6820,7282,6620,6776,6612,6885,7031,1982,1911,2141,2179,2184
"Vermont : coal","thousand megawatthours","ELEC.GEN.COW-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-VT-99.A",32,9,23,18,10,7,8,4,2,5,8,3,5,5,3,4,7,3,"NM"
"Vermont : petroleum coke","thousand megawatthours","ELEC.GEN.PC-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : natural gas","thousand megawatthours","ELEC.GEN.NG-VT-99.A",11,3,2,3,2,2,2,3,4,4,3,3,3,2,1,2,2,2,2
"Vermont : other gases","thousand megawatthours","ELEC.GEN.OOG-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : nuclear","thousand megawatthours","ELEC.GEN.NUC-VT-99.A",4171,3963,4444,3858,4072,5107,4704,4895,5361,4782,4907,4989,4846,5061,"--","--","--","--","--"
"Vermont : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-VT-99.A",884,1115,1154,1187,1211,1519,647,1493,1486,1347,1425,1151,1286,1175,1139,1078,1280,1268,1198
"Vermont : other renewables",,"ELEC.GEN.AOR-VT-99.A",,,,,,,,,,,,,,,,,,,
"Vermont : wind","thousand megawatthours","ELEC.GEN.WND-VT-99.A",12,10,11,11,11,11,11,10,12,14,33,107,236,311,325,291,305,373,384
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-99.A","--","--","--","--","--","--","--","--","--","--",2,5,17,24,48,59,99,107,175
"Vermont : geothermal","thousand megawatthours","ELEC.GEN.GEO-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : biomass","thousand megawatthours","ELEC.GEN.BIO-VT-99.A",370,356,394,393,410,439,453,415,417,468,398,353,491,453,465,477,448,426,424
"Vermont : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Vermont : other","thousand megawatthours","ELEC.GEN.OTH-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,-0,0
"Vermont : all solar",,"ELEC.GEN.TSN-VT-99.A",,,,,,,,,,,,,,,,,,,
"Vermont : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-VT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",33,54,76,111,130,153
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-99.A","--","--","--","--","--","--","--","--","--","--",2,5,17,24,48,59,99,107,175
"Middle Atlantic",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"New Jersey",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"New Jersey : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NJ-99.A",59421,61569,57399,55882,60550,60700,62671,63675,61811,65682,64694,65263,64751,68051,74609,77611,75645,75034,71230
"New Jersey : coal","thousand megawatthours","ELEC.GEN.COW-NJ-99.A",9319,9605,9790,10322,11625,10862,10211,9028,5100,6418,4155,1897,2022,2519,1759,1315,1216,1193,1042
"New Jersey : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NJ-99.A",1297,731,1542,1425,940,270,453,325,278,235,107,30,107,467,304,81,80,302,82
"New Jersey : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NJ-99.A","--","--","--","--","--","--","--","--","--","--",58,40,55,"NM",71,65,76,60,71
