"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVT3BUS","200613","986.909","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200713","844.504","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200813","869.485","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","200913","932.995","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201013","887.813","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201113","1089.639","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201213","942.532","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201313","916.345","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201413","884.959","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201513","849.861","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201613","913.775","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201713","1024.736","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201813","998.092","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVT3BUS","201913","933.89","1","Conventional Hydropower, Transformed Into Electricity","Trillion Btu"
"HVFJBUS","194913","1101.357","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195013","1071.193","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195113","1067.664","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195213","1091.487","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195313","1038.844","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195413","978.857","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195513","963.247","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195613","1007.404","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195713","1060.596","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195813","1101.954","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","195913","1066.846","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","196013","1098.086","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","196113","1125.773","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","196213","1229.224","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","196313","1194.761","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","196413","1271.125","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","196513","1386.966","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","196613","1386.156","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","196713","1579.139","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","196813","1577.95","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","196913","1783.149","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","197013","1777.28","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","197113","1904.51","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","197213","1922.396","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","197313","1921.679","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","197413","2138.609","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","197513","2120.25","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","197613","1997.28","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","197713","1570.334","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","197813","1969.8","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","197913","1964.83","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","198013","1947.574","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","198113","1857.73","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","198213","2199.738","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","198313","2383.247","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","198413","2279.26","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","198513","2000.125","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","198613","2068.033","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","198713","1771.763","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","198813","1562.809","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","198913","1909.278","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
