Date,No1,No2,No3,No4,No5,PB,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
3/14/2009,7,44,33,30,51,10,2,$45.1 Million,R,,,,
3/11/2009,13,7,47,3,34,30,5,$32.5 Million,R,,,,
3/7/2009,59,27,56,28,21,21,2,$25 Million,R,,,,
3/4/2009,6,1,44,55,49,36,2,$20 Million,R,,,,
2/28/2009,3,58,16,20,42,7,5,$174 Million,2,DE,PA,,
2/25/2009,32,49,42,56,17,11,4,$150 Million,R,,,,
2/21/2009,31,46,13,45,41,21,4,$130 Million,R,,,,
2/18/2009,44,15,56,39,2,15,3,$108 Million,R,,,,
2/14/2009,33,8,45,9,2,5,5,$92.7 Million,R,,,,
2/11/2009,5,22,45,49,10,37,2,$78.9 Million,R,,,,
2/7/2009,18,53,5,28,20,27,2,$66.6 Million,R,,,,
2/4/2009,24,44,30,32,7,18,4,$54.2 Million,R,,,,
1/31/2009,33,26,14,41,1,37,4,$43.1 Million,R,,,,
1/28/2009,10,32,18,5,23,4,4,$30 Million,R,,,,
1/24/2009,6,37,42,20,25,25,2,$25 Million,R,,,,
1/21/2009,26,20,54,46,38,23,4,$20 Million,R,,,,
1/17/2009,9,5,59,23,2,26,2,$163 Million,1,IN,,,
1/14/2009,46,34,25,8,39,34,5,$147 Million,R,,,,
1/10/2009,8,56,10,18,43,9,3,$129 Million,R,,,,
1/7/2009,31,52,23,33,38,24,5,$105 Million,R,,,,
1/3/2009,38,22,55,24,17,24,3,$91 Million,R,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
