Draw Date,Winning Numbers,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
12/28/2013,08 35 44 51 56 18,1,$40 Million,R,,,,
1/1/2014,15 24 40 48 52 23,1,$50 Million,R,,,,
1/4/2014,19 20 37 41 58 14,1,$60 Million,R,,,,
1/8/2014,10 28 39 47 58 22,1,$70 Million,R,,,,
1/11/2014,10 15 33 48 54 34,1,$80 Million,R,,,,
1/15/2014,07 08 09 24 29 25,1,$93 Million,R,,,,
1/18/2014,13 14 19 31 38 25,1,$113 Million ,R,,,,
1/22/2014,01 02 07 09 55 29,3,$131 Million,R,,,,
1/25/2014,08 12 18 55 57 02,2,$152 Million,R,,,,
1/29/2014,11 23 28 32 47 20,2,$171 Million,R,,,,
2/1/2014,05 12 15 27 38 07,2,$194 Million,R,,,,
2/5/2014,08 17 32 57 59 24,3,$215 Million,R,,,,
2/8/2014,24 25 34 37 54 29,2,$247 Million,R,,,,
2/12/2014,36 44 49 52 57 01,2,$284 Million,R,,,,
2/15/2014,02 09 14 21 23 03,3,$330 Million,R,,,,
2/19/2014,01 17 35 49 54 34,3,$425 Million,1,CA,,,
2/22/2014,02 03 13 14 54 04,5,$40 Million,R,,,,
2/26/2014,11 12 17 38 42 02,2,$50 Million,R,,,,
3/1/2014,03 08 25 30 47 13,4,$60 Million,1,CA,,,
3/5/2014,03 07 09 26 54 19,2,$40 Million,R,,,,
3/8/2014,10 14 24 32 41 30,2,$50 Million,R,,,,
3/12/2014,14 15 28 37 54 10,2,$60 Million,R,,,,
3/15/2014,02 05 34 51 58 09,4,$70 Million,R,,,,
3/19/2014,02 19 23 34 43 14,2,$80 Million,R,,,,
3/22/2014,13 28 31 55 58 15,2,$96.5 Million,1,MO,,,
3/26/2014,28 33 41 44 59 21,2,$40 Million,R,,,,
3/29/2014,02 03 12 27 38 17,2,$50 Million,R,,,,
4/2/2014,08 13 19 22 53 24,2,$60 Million,R,,,,
4/5/2014,11 21 26 33 34 29,5,$70 Million,R,,,,
4/9/2014,09 14 44 48 49 29,2,$80 Million,R,,,,
4/12/2014,14 26 45 54 55 20,2,$94 Million,R,,,,
4/16/2014,34 39 42 44 59 08,3,$110 Million,R,,,,
4/19/2014,05 06 29 35 51 21,5,$128 Million,R,,,,
4/23/2014,19 25 29 36 48 12,4,$148 Million,1,FL,,,
4/26/2014,03 07 22 30 33 20,3,$40 Million,R,,,,
4/30/2014,02 09 11 19 50 32,3,$50 Million,R,,,,
5/3/2014,05 15 16 46 49 26,4,$60 Million,R,,,,
5/7/2014,17 29 31 48 49 34,2,$70 Million,R,,,,
5/10/2014,04 31 41 47 55 01,2,$80 Million,R,,,,
5/14/2014,07 33 39 52 55 33,3,$90 Million,R,,,,
5/17/2014,23 32 39 47 49 22,3,$100 Million,R,,,,
5/21/2014,04 20 34 39 58 31,5,$114 Million,R,,,,
5/24/2014,15 16 28 49 55 18,2,$132 Million,R,,,,
5/28/2014,02 24 28 32 59 25,3,$152 Million,R,,,,
5/31/2014,15 27 31 34 48 01,2,$173 Million,R,,,,
6/4/2014,01 07 10 22 49 24,3,$192 Million,R,,,,
6/7/2014,28 30 35 58 59 15,2,$221 Million,R,,,,
6/11/2014,14 18 25 33 49 23,5,$259 Million,1,TN,,,
6/14/2014,09 33 42 45 54 30,3,$40 Million,R,,,,
6/18/2014,06 09 29 52 59 07,3,$50 Million,R,,,,
6/21/2014,05 06 37 41 54 26,3,$60 Million,R,,,,
6/25/2014,10 20 25 50 53 35,4,$70 Million,R,,,,
6/28/2014,08 12 34 43 56 09,2,$80 Million,R,,,,
7/2/2014,08 18 45 53 58 35,2,$90 Million,R,,,,
7/5/2014,24 34 36 57 58 11,4,$101 Million,R,,,,
7/9/2014,09 25 42 55 57 14,2,$124 Million,1,OH,,,
7/12/2014,02 03 07 23 51 26,2,$40 Million,R,,,,
7/16/2014,05 15 18 26 32 35,3,$50 Million,R,,,,
7/19/2014,10 17 25 45 53 09,2,$60 Million,1,CA,,,
7/23/2014,04 10 12 22 31 03,5,$40 Million,R,,,,
7/26/2014,24 28 30 38 39 16,2,$50 Million,R,,,,
7/30/2014,13 30 42 49 53 29,3,$60 Million,R,,,,
8/2/2014,12 26 44 46 47 29,2,$70 Million,R,,,,
8/6/2014,01 08 24 28 49 24,5,$80 Million,R,,,,
8/9/2014,03 12 31 34 51 24,2,$90 Million,1,CO,,,
8/13/2014,08 37 39 40 52 24,2,$40 Million,R,,,,
8/16/2014,07 08 17 48 59 09,2,$50 Million,R,,,,
8/20/2014,04 08 21 38 40 03,2,$60 Million,R,,,,
8/23/2014,28 32 35 36 52 31,3,$70 Million,R,,,,
8/27/2014,17 24 26 45 46 19,3,$80 Million,R,,,,
8/30/2014,05 28 31 52 59 27,2,$90 Million,R,,,,
9/3/2014,02 16 43 45 51 35,3,$100 Million,R,,,,
9/6/2014,09 29 31 43 50 18,2,$110 Million,R,,,,
9/10/2014,02 14 39 40 43 13,5,$127 Million,R,,,,
9/13/2014,01 06 16 37 53 27,3,$149 Million,R,,,,
9/17/2014,18 25 36 48 50 23,2,$171 Million,R,,,,
9/20/2014,22 23 30 37 39 16,4,$196 Million,R,,,,
9/24/2014,07 14 21 24 41 26,4,$228 Million,1,CA,,,
9/27/2014,02 11 35 52 54 13,3,$40 Million,R,,,,
10/1/2014,01 04 18 20 45 07,2,$50 Million,R,,,,
10/4/2014,13 18 24 25 33 31,2,$60 Million,R,,,,
10/8/2014,05 16 31 46 50 18,3,$70 Million,R,,,,
10/11/2014,10 19 37 38 39 28,2,$80 Million,R,,,,
10/15/2014,05 07 19 27 28 20,2,$90 Million,R,,,,
10/18/2014,20 26 27 36 54 19,2,$100 Million,R,,,,
10/22/2014,29 30 40 42 50 16,2,$110 Million,R,,,,
10/25/2014,06 10 51 54 57 12,2,$125 Million,R,,,,
10/29/2014,25 28 48 57 59 16,3,$142 Million,R,,,,
11/1/2014,01 03 13 25 38 17,2,$159 Million,R,,,,
11/5/2014,02 11 19 21 42 34,3,$178 Million,R,,,,
11/8/2014,09 19 33 38 54 15,3,$202 Million,1,MO,,,
11/12/2014,37 39 51 52 55 11,3,$40 Million,R,,,,
11/15/2014,13 16 33 35 51 28,2,$50 Million,R,,,,
11/19/2014,06 36 38 48 51 17,2,$60 Million,R,,,,
11/22/2014,23 49 53 54 57 35,2,$70 Million,R,,,,
11/26/2014,16 17 22 46 54 35,5,$80 Million,R,,,,
11/29/2014,13 24 30 42 48 27,2,$90 Million,1,WA,,,
12/3/2014,25 30 32 46 54 26,3,$40 Million,R,,,,
12/6/2014,12 15 22 43 49 14,2,$50 Million,R,,,,
12/10/2014,34 44 48 54 55 10,2,$60 Million,R,,,,
12/13/2014,05 13 28 43 55 33,3,$70 Million,R,,,,
12/17/2014,22 31 38 47 48 15,3,$80 Million,R,,,,
12/20/2014,14 15 19 31 56 05,5,$90 Million,R,,,,
12/24/2014,11 12 46 47 50 22,4,$100 Million,R,,,,
12/27/2014,07 10 11 14 36 15,2,$110 Million,R,,,,
12/31/2014,17 27 37 40 53 35,2,$120 Million,R,,,,
1/3/2015,04 18 43 46 55 25,3,$131 Million,R,,,,
1/7/2015,14 15 47 49 59 10,2,$146 Million,R,,,,
1/10/2015,02 09 19 28 29 19,5,$162 Million,R,,,,
1/14/2015,02 04 10 41 53 22,5,$176 Million,R,,,,
1/17/2015,15 16 23 27 36 09,2,$194 Million,R,,,,
1/21/2015,11 12 15 28 57 23,4,$208 Million,R,,,,
1/24/2015,16 19 20 29 33 10,2,$230 Million,R,,,,
1/28/2015,12 24 35 36 49 01,5,$261 Million,R,,,,
1/31/2015,05 11 16 26 50 34,2,$289 Million,R,,,,
2/4/2015,24 36 51 52 56 22,2,$317 Million,R,,,,
2/7/2015,05 10 21 34 58 33,5,$360 Million,R,,,,
2/11/2015,11 13 25 39 54 19,3,$564 Million,3,NC,PR,TX,
2/14/2015,01 24 44 45 51 28,2,$40 Million,R,,,,
2/18/2015,01 09 29 32 49 22,2,$50 Million,R,,,,
2/21/2015,10 14 18 34 51 26,2,$60 Million,R,,,,
2/25/2015,17 19 21 32 39 08,3,$70 Million,R,,,,
2/28/2015,11 17 25 28 46 12,2,$80 Million,R,,,,
3/4/2015,08 12 15 35 50 32,2,$90 Million,R,,,,
3/7/2015,34 36 38 42 50 33,4,$100 Million,R,,,,
3/11/2015,11 24 31 40 44 27,2,$119 Million,R,,,,
3/14/2015,08 14 39 46 47 18,2,$136 Million,1,NY,,,
3/18/2015,14 25 30 33 47 08,2,$40 Million,R,,,,
3/21/2015,11 16 30 38 42 07,4,$50 Million,1,TN,,,
3/25/2015,07 19 23 50 54 14,2,$40 Million,1,NJ,,,
3/28/2015,02 04 06 12 38 17,3,$40 Million,R,,,,
4/1/2015,02 30 33 39 44 01,3,$50 Million,R,,,,
4/4/2015,33 39 40 41 54 28,3,$60 Million,R,,,,
4/8/2015,01 19 45 46 58 29,2,$70 Million,R,,,,
4/11/2015,01 12 32 42 58 12,2,$80 Million,1,FL,,,
4/15/2015,01 16 21 29 40 30,3,$40 Million,R,,,,
4/18/2015,13 22 23 29 31 17,3,$50 Million,1,PR,,,
4/22/2015,10 14 25 39 53 18,2,$40 Million,R,,,,
4/25/2015,21 33 35 38 45 12,2,$50 Million,R,,,,
4/29/2015,01 26 34 38 51 06,3,$60 Million,R,,,,
5/2/2015,02 06 11 30 31 33,3,$70 Million,R,,,,
5/6/2015,23 24 27 39 41 30,5,$80 Million,R,,,,
5/9/2015,04 15 17 35 58 17,3,$90 Million,R,,,,
5/13/2015,01 25 29 31 47 07,3,$100 Million,R,,,,
5/16/2015,24 29 38 48 52 32,2,$110 Million,R,,,,
5/20/2015,01 12 28 35 44 25,3,$121 Million,R,,,,
5/23/2015,09 15 17 31 43 16,4,$138 Million,R,,,,
5/27/2015,08 15 34 53 59 23,2,$154 Million,R,,,,
5/30/2015,08 09 25 56 57 22,2,$171 Million,R,,,,
6/3/2015,06 08 13 37 40 11,2,$188 Million,1,AZ,,,
6/6/2015,08 13 18 27 43 15,4,$40 Million,R,,,,
6/10/2015,31 32 48 49 53 25,2,$50 Million,R,,,,
6/13/2015,29 41 48 52 54 29,2,$60 Million,R,,,,
6/17/2015,20 21 22 41 54 07,3,$70 Million,R,,,,
6/20/2015,09 10 16 20 57 15,2,$80 Million,1,FL,,,
6/24/2015,03 05 10 22 32 07,4,$40 Million,R,,,,
6/27/2015,18 28 35 46 49 27,5,$50 Million,R,,,,
7/1/2015,07 24 26 31 41 25,2,$60 Million,R,,,,
7/4/2015,03 06 14 18 24 21,3,$70 Million,1,MO,,,
7/8/2015,04 15 25 27 30 18,3,$40 Million,R,,,,
7/11/2015,11 39 46 52 54 03,2,$50 Million,R,,,,
7/15/2015,13 16 34 45 50 11,2,$60 Million,R,,,,
7/18/2015,06 37 39 45 55 33,3,$70 Million,R,,,,
7/22/2015,12 31 43 44 57 11,2,$80 Million,R,,,,
7/25/2015,27 29 34 41 44 02,3,$90 Million,R,,,,
7/29/2015,04 22 27 28 52 35,3,$100 Million,R,,,,
8/1/2015,07 13 24 49 57 15,3,$110 Million,1,CA,,,
8/5/2015,09 11 14 16 42 19,2,$40 Million,R,,,,
8/8/2015,09 34 48 52 54 15,4,$50 Million,R,,,,
8/12/2015,08 13 29 38 52 28,2,$60 Million,R,,,,
8/15/2015,03 13 17 42 52 24,4,$70 Million,R,,,,
8/19/2015,06 08 43 48 50 07,2,$80 Million,R,,,,
8/22/2015,04 12 14 21 55 07,4,$90 Million,R,,,,
8/26/2015,02 22 32 45 56 12,5,$100 Million,R,,,,
8/29/2015,18 21 25 28 29 16,2,$110 Million,R,,,,
9/2/2015,17 22 30 46 56 16,3,$120 Million,R,,,,
9/5/2015,10 16 18 29 45 19,2,$133 Million,R,,,,
9/9/2015,44 45 47 50 51 08,2,$149 Million,R,,,,
9/12/2015,02 03 13 16 35 27,3,$167 Million,R,,,,
9/16/2015,05 07 24 31 39 07,3,$185 Million,R,,,,
9/19/2015,12 17 26 43 48 24,2,$208 Million,R,,,,
9/23/2015,08 29 41 51 58 05,2,$235 Million,R,,,,
9/26/2015,23 31 42 50 57 05,3,$267 Million,R,,,,
9/30/2015,21 39 40 55 59 17,3,$310 Million,1,MI,,,
10/3/2015,06 26 33 44 46 04,2,$40 Million,R,,,,
10/7/2015,18 30 40 48 52 09,3,$50 Million,R,,,,
10/10/2015,12 27 29 43 68 01,2,$60 Million,R,,,,
10/14/2015,15 20 29 31 40 01,2,$70 Million,R,,,,
10/17/2015,48 49 57 62 69 19,3,$80 Million,R,,,,
10/21/2015,30 32 42 56 57 11,4,$90 Million,R,,,,
10/24/2015,20 31 56 60 64 02,3,$100 Million,R,,,,
10/28/2015,04 54 56 62 63 10,2,$110 Million,R,,,,
10/31/2015,09 20 25 47 68 07,2,$127 Million,R,,,,
11/4/2015,02 12 17 20 65 17,4,$144 Million,1,TN,,,
11/7/2015,07 16 25 50 53 15,2,$40 Million,R,,,,
11/11/2015,04 26 32 55 64 18,3,$50 Million,R,,,,
11/14/2015,14 22 37 45 66 05,3,$60 Million,R,,,,
11/18/2015,17 40 41 46 69 06,2,$70 Million,R,,,,
11/21/2015,37 47 50 52 57 21,3,$80 Million,R,,,,
11/25/2015,16 29 53 58 69 21,2,$90 Million,R,,,,
11/28/2015,02 06 47 66 67 02,3,$100 Million,R,,,,
12/2/2015,14 18 19 32 64 09,2,$110 Million,R,,,,
12/5/2015,13 27 33 47 68 13,2,$127 Million,R,,,,
12/9/2015,07 10 16 46 56 01,2,$145 Million,R,,,,
12/12/2015,02 14 19 30 62 22,2,$164 Million,R,,,,
12/16/2015,09 10 32 42 55 06,2,$180 Million,R,,,,
12/19/2015,28 30 41 59 68 10,2,$202 Million,R,,,,
12/23/2015,16 38 55 63 67 25,4,$227 Million,R,,,,
12/26/2015,27 40 44 59 65 20,2,$261 Million,R,,,,
12/30/2015,12 36 38 54 61 22,3,$301 Million,R,,,,
1/2/2016,05 06 15 29 42 10,2,$355 Million,R,,,,
1/6/2016,02 11 47 62 63 17,3,$524 Million,R,,,,
1/9/2016,16 19 32 34 57 13,3,$949 Million,R,,,,
1/13/2016,04 08 19 27 34 10,2,$1586.4 Million,3,CA,FL,TN,
1/16/2016,03 51 52 61 64 06,2,$40 Million,R,,,,
1/20/2016,05 39 44 47 69 24,5,$50 Million,R,,,,
1/23/2016,22 32 34 40 69 19,4,$60 Million,R,,,,
1/27/2016,03 12 40 52 67 21,2,$80.6 Million,R,,,,
1/30/2016,05 12 16 31 43 18,4,$97.9 Million,R,,,,
2/3/2016,26 28 31 60 67 23,3,$116 Million,R,,,,
2/6/2016,04 13 31 36 52 08,3,$136 Million,R,,,,
2/10/2016,02 03 40 50 62 05,2,$155 Million,R,,,,
2/13/2016,07 15 18 19 36 20,2,$171 Million,R,,,,
2/17/2016,07 17 27 29 40 25,2,$190 Million,R,,,,
2/20/2016,11 12 15 16 54 25,5,$214 Million,R,,,,
2/24/2016,21 31 64 65 67 05,3,$237 Million,R,,,,
2/27/2016,10 11 21 22 53 18,3,$265 Million,R,,,,
3/2/2016,12 13 44 52 62 06,2,$291 Million,1,FL,,,
3/5/2016,03 27 34 59 69 19,2,$40 Million,R,,,,
3/9/2016,14 23 32 34 68 03,3,$50 Million,R,,,,
3/12/2016,11 28 50 57 62 23,2,$60 Million,R,,,,
3/16/2016,10 12 13 46 50 21,3,$70 Million,R,,,,
3/19/2016,11 23 43 54 60 03,3,$80 Million,R,,,,
3/23/2016,05 08 15 22 49 25,3,$90 Million,R,,,,
3/26/2016,11 23 42 52 68 06,3,$101 Million,R,,,,
3/30/2016,24 44 53 55 63 19,2,$117 Million,R,,,,
4/2/2016,09 28 30 40 61 03,2,$133 Million,R,,,,
4/6/2016,04 28 49 60 65 25,2,$149 Million,R,,,,
4/9/2016,14 22 23 41 61 09,3,$166 Million,R,,,,
4/13/2016,30 33 35 38 64 22,3,$184 Million,R,,,,
4/16/2016,03 18 25 32 51 03,2,$206 Million,R,,,,
4/20/2016,12 25 30 52 62 08,3,$228 Million,R,,,,
4/23/2016,19 35 46 59 62 13,5,$256 Million,R,,,,
4/27/2016,02 25 33 39 64 17,2,$282 Million,R,,,,
4/30/2016,03 12 16 32 34 14,3,$314 Million,R,,,,
5/4/2016,30 47 57 66 69 03,3,$361 Million,R,,,,
5/7/2016,05 25 26 44 66 09,2,$429 Million,1,NJ,,,
5/11/2016,20 32 52 66 69 23,3,$40 Million,R,,,,
5/14/2016,13 27 47 64 65 09,3,$50 Million,R,,,,
5/18/2016,23 25 39 54 67 11,3,$60 Million,R,,,,
5/21/2016,05 07 09 23 32 26,4,$70 Million,R,,,,
5/25/2016,11 24 41 59 64 15,3,$80 Million,R,,,,
5/28/2016,06 33 34 58 59 12,2,$90 Million,R,,,,
6/1/2016,23 30 33 40 69 12,5,$100 Million,R,,,,
6/4/2016,16 20 22 43 64 17,2,$110 Million,R,,,,
6/8/2016,12 25 37 60 69 20,3,$123 Million,R,,,,
6/11/2016,20 27 36 41 58 07,2,$137 Million,R,,,,
6/15/2016,04 22 24 31 33 10,2,$152 Million,R,,,,
6/18/2016,02 23 41 53 63 11,2,$168 Million,R,,,,
6/22/2016,14 40 42 43 52 17,3,$184 Million,R,,,,
6/25/2016,03 27 36 56 69 25,2,$202 Million,R,,,,
6/29/2016,23 29 37 60 64 06,2,$222 Million,R,,,,
7/2/2016,10 34 39 59 63 04,2,$239 Million,R,,,,
7/6/2016,02 24 31 57 66 18,3,$261 Million,R,,,,
7/9/2016,10 28 32 61 64 12,3,$280 Million,R,,,,
7/13/2016,03 15 29 54 57 10,3,$302 Million,R,,,,
7/16/2016,11 17 40 50 62 26,2,$335 Million,R,,,,
7/20/2016,06 25 35 58 66 05,2,$360 Million,R,,,,
7/23/2016,05 07 23 35 39 11,2,$391 Million,R,,,,
7/27/2016,10 47 50 65 68 24,2,$434 Million,R,,,,
7/30/2016,11 17 21 23 32 05,2,$487 Million,1,NH,,,
8/3/2016,09 11 27 66 67 02,3,$40 Million,R,,,,
8/6/2016,20 33 36 47 52 12,3,$54.6 Million,R,,,,
8/10/2016,23 56 61 64 67 12,5,$67.6 Million,R,,,,
8/13/2016,38 44 60 64 69 06,2,$81.4 Million,R,,,,
8/17/2016,33 44 49 50 52 08,3,$94.9 Million,R,,,,
8/20/2016,03 06 21 60 68 24,2,$112 Million,R,,,,
8/24/2016,09 11 25 64 65 16,3,$125 Million,R,,,,
8/27/2016,04 32 48 49 63 20,2,$140 Million,R,,,,
8/31/2016,05 10 24 56 61 12,2,$154 Million,R,,,,
9/3/2016,07 39 50 59 67 25,3,$171 Million,R,,,,
9/7/2016,22 23 29 33 55 21,2,$186 Million,R,,,,
9/10/2016,03 17 49 55 68 08,2,$205 Million,R,,,,
9/14/2016,10 11 23 28 31 14,2,$224 Million,R,,,,
9/17/2016,09 19 51 55 62 14,4,$246 Million,1,GA,,,
9/21/2016,01 28 63 67 69 17,4,$40 Million,R,,,,
9/24/2016,07 15 20 29 41 22,2,$50 Million,R,,,,
9/28/2016,30 38 52 53 62 01,3,$60 Million,R,,,,
10/1/2016,02 12 50 61 64 01,2,$70 Million,R,,,,
10/5/2016,08 18 27 29 60 15,2,$80 Million,R,,,,
10/8/2016,03 54 61 64 68 09,2,$92.6 Million,R,,,,
10/12/2016,16 30 34 37 44 16,2,$106 Million,R,,,,
10/15/2016,23 49 57 64 67 20,2,$122 Million,R,,,,
10/19/2016,10 16 38 43 63 23,2,$136 Million,R,,,,
10/22/2016,01 28 33 55 56 22,2,$150 Million,R,,,,
10/26/2016,02 03 16 48 56 24,2,$164 Million,R,,,,
10/29/2016,19 20 21 42 48 23,3,$183 Million,R,,,,
11/2/2016,13 18 37 54 61 05,2,$199 Million,R,,,,
11/5/2016,21 31 50 51 69 08,3,$217 Million,R,,,,
11/9/2016,01 25 28 31 54 02,2,$236 Million,R,,,,
11/12/2016,08 17 20 27 52 24,2,$258 Million,R,,,,
11/16/2016,28 41 61 63 65 07,2,$294 Million,R,,,,
11/19/2016,16 24 28 43 61 21,2,$333 Million,R,,,,
11/23/2016,07 32 41 47 61 03,2,$374 Million,R,,,,
11/26/2016,17 19 21 37 44 16,2,$420 Million,1,TN,,,
11/30/2016,03 14 18 25 45 07,2,$40 Million,R,,,,
12/3/2016,08 10 26 27 33 22,2,$55.2 Million,R,,,,
12/7/2016,41 48 49 53 64 20,2,$69.1 Million,R,,,,
12/10/2016,12 21 32 44 66 15,2,$85.7 Million,R,,,,
12/14/2016,18 26 37 39 66 15,3,$102 Million,R,,,,
12/17/2016,01 08 16 40 48 10,2,$121 Million,1,DE,,,
12/21/2016,25 33 40 54 68 03,5,$40 Million,R,,,,
12/24/2016,28 38 42 51 52 21,2,$50 Million,R,,,,
12/28/2016,16 23 30 44 58 04,2,$60 Million,R,,,,
12/31/2016,01 03 28 57 67 09,2,$70 Million,R,,,,
1/4/2017,16 17 29 41 42 04,3,$80 Million,R,,,,
1/7/2017,03 12 24 37 63 10,2,$90.8 Million,R,,,,
1/11/2017,01 03 13 16 43 24,2,$105 Million,R,,,,
1/14/2017,23 55 59 64 69 13,5,$123 Million,R,,,,
1/18/2017,09 40 41 53 58 12,2,$136 Million,R,,,,
1/21/2017,23 25 45 52 67 02,2,$154 Million,R,,,,
1/25/2017,18 28 62 66 68 22,2,$169 Million,R,,,,
1/28/2017,12 20 39 49 69 17,2,$189 Million,R,,,,
2/1/2017,09 43 57 60 64 10,2,$209 Million,R,,,,
2/4/2017,06 13 16 17 52 25,3,$233 Million,R,,,,
2/8/2017,14 20 42 49 66 05,2,$258 Million,R,,,,
2/11/2017,05 09 17 37 64 02,2,$283 Million,R,,,,
2/15/2017,05 28 33 38 42 19,2,$317 Million,R,,,,
2/18/2017,03 07 09 31 33 20,3,$361 Million,R,,,,
2/22/2017,10 13 28 52 61 02,2,$435 Million,1,IN,,,
2/25/2017,06 32 47 62 65 19,2,$40 Million,R,,,,
3/1/2017,10 16 40 52 55 17,10,$53.9 Million,R,,,,
3/4/2017,02 18 19 22 63 19,3,$71.2 Million,R,,,,
3/8/2017,23 33 42 46 59 04,2,$86.5 Million,R,,,,
3/11/2017,01 26 41 50 57 11,2,$106 Million,R,,,,
3/15/2017,16 30 41 48 53 16,3,$123 Million,R,,,,
3/18/2017,13 25 44 54 67 05,3,$139 Million,R,,,,
3/22/2017,02 09 27 29 42 09,2,$156 Million,1,WI,,,
3/25/2017,18 31 32 45 48 16,4,$40 Million,R,,,,
3/29/2017,08 15 31 36 62 11,3,$50 Million,R,,,,
4/1/2017,09 32 36 44 65 01,3,$60 Million,1,IN,,,
4/5/2017,08 20 46 53 54 13,2,$40 Million,R,,,,
4/8/2017,23 36 51 53 60 15,2,$50 Million,R,,,,
4/12/2017,08 14 61 63 68 24,2,$60 Million ,R,,,,
4/15/2017,05 22 26 45 61 13,3,$70 Million,R,,,,
4/19/2017,01 19 37 40 52 15,3,$80 Million,R,,,,
4/22/2017,21 39 41 48 63 06,3,$90 Million,R,,,,
4/26/2017,01 15 18 26 51 26,4,$100 Million,R,,,,
4/29/2017,22 23 24 45 62 05,2,$115 Million,R,,,,
5/3/2017,17 18 49 59 66 09,2,$131 Million,R,,,,
5/6/2017,11 21 31 41 59 21,3,$149 Million,R,,,,
5/10/2017,29 31 46 56 62 08,2,$166 Million,R,,,,
5/13/2017,17 20 32 63 68 19,5,$185 Million,R,,,,
5/17/2017,04 11 39 45 48 09,3,$205 Million,R,,,,
5/20/2017,05 22 45 47 54 03,2,$226 Million,R,,,,
5/24/2017,28 32 33 38 62 15,2,$249 Million,R,,,,
5/27/2017,05 10 28 55 67 09,3,$274 Million,R,,,,
5/31/2017,04 33 39 46 60 06,2,$304 Million,R,,,,
6/3/2017,03 09 21 41 54 25,4,$338 Million,R,,,,
6/7/2017,05 21 57 66 69 13,3,$380 Million,R,,,,
6/10/2017,20 26 32 38 58 03,2,$447 Million,1,CA,,,
6/14/2017,05 22 43 57 63 24,2,$40 Million,R,,,,
6/17/2017,10 13 32 53 62 21,2,$53 Million,R,,,,
6/21/2017,14 46 61 65 68 13,2,$65.3 Million,R,,,,
6/24/2017,10 22 32 36 58 10,4,$78.7 Million,R,,,,
6/28/2017,29 37 46 53 68 08,2,$91.8 Million,R,,,,
7/1/2017,19 42 45 48 53 16,3,$109 Million,R,,,,
7/5/2017,04 09 16 54 68 21,2,$123 Million,R,,,,
7/8/2017,08 10 29 40 59 26,2,$140 Million,R,,,,
7/12/2017,01 02 18 23 61 09,2,$155 Million,R,,,,
7/15/2017,09 40 63 64 66 17,2,$170 Million,R,,,,
7/19/2017,50 51 59 61 63 04,5,$186 Million,R,,,,
7/22/2017,05 32 44 53 60 09,3,$201 Million,R,,,,
7/26/2017,07 19 21 42 69 12,2,$218 Million,R,,,,
7/29/2017,01 28 40 45 48 12,2,$242 Million,R,,,,
8/2/2017,01 16 54 63 69 18,3,$262 Million,R,,,,
8/5/2017,11 21 28 33 45 11,2,$287 Million,R,,,,
8/9/2017,12 30 36 47 62 09,4,$323 Million,R,,,,
8/12/2017,20 24 26 35 49 19,2,$371 Million,R,,,,
8/16/2017,09 15 43 60 64 04,3,$432 Million,R,,,,
8/19/2017,17 19 39 43 68 13,4,$541 Million,R,,,,
8/23/2017,06 07 16 23 26 04,4,$758 Million,1,MA,,,
8/26/2017,07 15 32 38 66 15,2,$40 Million,R,,,,
8/30/2017,19 28 43 67 69 07,2,$54.3 Million,R,,,,
9/2/2017,06 21 41 52 62 26,2,$70.5 Million,R,,,,
9/6/2017,08 14 32 58 67 17,3,$84.8 Million,R,,,,
9/9/2017,06 20 29 57 59 22,2,$100 Million,R,,,,
9/13/2017,17 24 35 57 63 19,3,$115 Million,R,,,,
9/16/2017,17 18 24 25 31 24,2,$133 Million,1,CO,,,
9/20/2017,39 48 53 67 68 26,3,$40 Million,R,,,,
9/23/2017,24 45 55 56 57 19,2,$53.6 Million,R,,,,
9/27/2017,08 10 21 23 25 22,3,$66.1 Million,R,,,,
9/30/2017,08 12 25 41 64 15,3,$81.6 Million,R,,,,
10/4/2017,22 23 62 63 66 24,2,$95.5 Million,R,,,,
10/7/2017,10 49 61 63 65 07,2,$112 Million,R,,,,
10/11/2017,01 03 13 19 69 23,2,$127 Million,R,,,,
10/14/2017,32 37 56 66 69 11,3,$141 Million,R,,,,
10/18/2017,30 49 54 66 69 08,2,$156 Million,R,,,,
10/21/2017,14 41 42 45 69 04,2,$174 Million,R,,,,
10/25/2017,18 22 29 54 57 08,3,$191 Million,1,LA,,,
10/28/2017,27 35 38 57 66 10,2,$40 Million,R,,,,
11/1/2017,03 06 19 26 44 01,2,$50.1 Million,R,,,,
11/4/2017,12 14 26 48 51 13,3,$62.9 Million,R,,,,
11/8/2017,12 14 20 21 34 22,2,$75.5 Million,R,,,,
11/11/2017,04 06 16 30 56 18,2,$89.5 Million,R,,,,
11/15/2017,23 32 44 48 50 25,2,$103 Million,R,,,,
11/18/2017,17 28 31 32 39 26,3,$120 Million,R,,,,
11/22/2017,35 37 46 51 61 13,2,$134 Million,R,,,,
11/25/2017,08 13 27 53 54 04,2,$147 Million,R,,,,
11/29/2017,24 26 28 59 63 16,3,$161 Million,R,,,,
12/2/2017,28 30 32 36 58 06,3,$178 Million,R,,,,
12/6/2017,19 20 50 55 62 09,2,$194 Million,R,,,,
12/9/2017,25 36 37 55 60 06,5,$211 Million,R,,,,
12/13/2017,02 24 28 51 58 07,3,$230 Million,R,,,,
12/16/2017,09 35 37 50 63 11,2,$249 Million,R,,,,
12/20/2017,01 20 61 64 69 20,2,$272 Million,R,,,,
12/23/2017,01 03 13 15 44 25,2,$309 Million,R,,,,
12/27/2017,03 09 16 56 60 03,3,$340 Million,R,,,,
