Draw Date,Winning Numbers,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
12/18/2010,04 11 19 33 43 14,4,$25 Million,R,,,,
12/22/2010,11 33 44 46 47 12,2,$36.2 Million,R,,,,
12/25/2010,01 17 38 50 52 24,2,$48.8 Million,1,NY,,,
12/29/2010,03 16 18 20 37 30,2,$20 Million,R,,,,
1/1/2011,18 22 37 47 54 36,2,$25 Million,R,,,,
1/5/2011,22 26 32 38 40 07,5,$37.9 Million,R,,,,
1/8/2011,06 07 26 33 52 24,2,$52.5 Million,R,,,,
1/12/2011,19 21 23 40 48 27,4,$65.8 Million,R,,,,
1/15/2011,09 13 22 23 37 31,3,$82.4 Million,R,,,,
1/19/2011,22 36 51 56 59 32,3,$99.4 Million,R,,,,
1/22/2011,30 31 34 45 51 23,2,$122 Million,1,NY,,,
1/26/2011,04 05 36 47 58 06,3,$20 Million,R,,,,
1/29/2011,24 28 45 49 52 02,4,$25 Million,R,,,,
2/2/2011,03 14 33 53 57 36,4,$35.7 Million,R,,,,
2/5/2011,15 37 41 56 59 05,5,$51.3 Million,R,,,,
2/9/2011,07 11 39 42 51 30,4,$65.6 Million,R,,,,
2/12/2011,11 32 36 48 52 19,4,$83.5 Million,R,,,,
2/16/2011,09 13 21 23 48 24,2,$104 Million,R,,,,
2/19/2011,03 12 34 37 42 36,5,$129 Million,R,,,,
2/23/2011,29 32 36 39 49 29,3,$154 Million,R,,,,
2/26/2011,04 13 17 21 45 10,5,$182 Million,1,FL,,,
3/2/2011,07 31 50 51 58 06,2,$20 Million,R,,,,
3/5/2011,02 23 31 42 48 21,2,$26.7 Million,R,,,,
3/9/2011,12 20 28 40 48 08,2,$39.5 Million,R,,,,
3/12/2011,01 04 12 41 47 03,4,$54.1 Million,R,,,,
3/16/2011,28 39 40 48 53 09,3,$68.1 Million,R,,,,
3/19/2011,03 11 20 27 46 08,2,$83.5 Million,R,,,,
3/23/2011,05 15 26 28 32 09,2,$103 Million,R,,,,
3/26/2011,04 10 11 19 33 27,4,$129 Million,R,,,,
3/30/2011,19 20 42 56 58 37,4,$153 Million,R,,,,
4/2/2011,06 22 34 43 45 23,2,$185 Million,R,,,,
4/6/2011,10 18 41 55 56 15,2,$221 Million,1,IN,,,
4/9/2011,05 14 32 53 56 11,4,$20 Million,R,,,,
4/13/2011,04 23 39 49 50 39,3,$28 Million,R,,,,
4/16/2011,21 33 44 45 55 07,5,$42.3 Million,R,,,,
4/20/2011,09 24 34 36 43 27,3,$57.3 Million,R,,,,
4/23/2011,03 11 47 48 58 19,3,$74 Million,1,IN,,,
4/27/2011,04 24 40 44 55 05,2,$20 Million,R,,,,
4/30/2011,06 13 15 32 41 03,2,$25 Million,R,,,,
5/4/2011,03 15 27 29 41 24,4,$36.9 Million,R,,,,
5/7/2011,02 11 27 47 55 15,4,$51.1 Million,R,,,,
5/11/2011,09 17 32 43 45 31,3,$65.2 Million,R,,,,
5/14/2011,08 17 18 40 44 16,2,$81.6 Million,R,,,,
5/18/2011,07 12 13 42 49 16,4,$98.9 Million,R,,,,
5/21/2011,02 08 40 49 50 36,3,$121 Million,R,,,,
5/25/2011,04 23 31 42 50 23,2,$144 Million,R,,,,
5/28/2011,12 20 43 51 55 11,4,$169 Million,R,,,,
6/1/2011,08 18 38 46 56 31,4,$201 Million,1,NY,,,
6/4/2011,17 19 39 41 58 21,5,$20 Million,R,,,,
6/8/2011,14 37 44 45 53 29,5,$35.6 Million,1,MA,,,
6/11/2011,16 18 27 36 50 08,3,$20 Million,R,,,,
6/15/2011,19 20 38 41 43 29,4,$25 Million,R,,,,
6/18/2011,12 21 22 38 41 18,2,$36.7 Million,R,,,,
6/22/2011,12 15 19 46 59 12,4,$49 Million,R,,,,
6/25/2011,18 36 39 41 57 12,4,$63.3 Million,R,,,,
6/29/2011,24 30 45 57 59 26,3,$77.1 Million,1,GA,,,
7/2/2011,01 11 18 29 51 32,3,$20 Million,R,,,,
7/6/2011,11 15 24 50 55 08,2,$25 Million,R,,,,
7/9/2011,01 09 11 23 31 06,3,$36.1 Million,R,,,,
7/13/2011,08 18 19 32 54 08,4,$48.6 Million,R,,,,
7/16/2011,24 28 48 50 54 25,3,$62.4 Million,R,,,,
7/20/2011,01 04 38 40 42 17,4,$73.6 Million,R,,,,
7/23/2011,01 07 27 38 48 30,3,$93.6 Million,R,,,,
7/27/2011,38 40 41 51 59 33,2,$113 Million,R,,,,
7/30/2011,20 40 41 47 55 19,2,$135 Million,R,,,,
8/3/2011,13 19 21 28 49 11,2,$160 Million,R,,,,
8/6/2011,25 30 54 57 59 06,3,$182 Million,R,,,,
8/10/2011,11 18 36 41 46 38,4,$228 Million,1,MN,,,
8/13/2011,09 12 35 50 58 04,2,$20 Million,R,,,,
8/17/2011,18 28 31 48 52 37,4,$25 Million,R,,,,
